date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-02-07,Illinois,Illinois43868,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-07,Massachusetts,Massachusetts43868,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-07,Washington,Washington43868,53,1,0,7797100,1.28253E-07,0,Western
2020-02-07,Wisconsin,Wisconsin43868,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-08,Arizona,Arizona43869,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-08,California,California43869,6,6,0,39937500,1.50235E-07,0,Western
2020-02-08,Illinois,Illinois43869,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-08,Massachusetts,Massachusetts43869,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-08,Washington,Washington43869,53,1,0,7797100,1.28253E-07,0,Western
2020-02-08,Wisconsin,Wisconsin43869,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-09,Arizona,Arizona43870,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-09,California,California43870,6,6,0,39937500,1.50235E-07,0,Western
2020-02-09,Illinois,Illinois43870,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-09,Massachusetts,Massachusetts43870,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-09,Washington,Washington43870,53,1,0,7797100,1.28253E-07,0,Western
2020-02-09,Wisconsin,Wisconsin43870,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-10,Arizona,Arizona43871,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-10,California,California43871,6,7,0,39937500,1.75274E-07,0,Western
2020-02-10,Illinois,Illinois43871,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-10,Massachusetts,Massachusetts43871,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-10,Washington,Washington43871,53,1,0,7797100,1.28253E-07,0,Western
2020-02-10,Wisconsin,Wisconsin43871,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-11,Arizona,Arizona43872,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-11,California,California43872,6,7,0,39937500,1.75274E-07,0,Western
2020-02-11,Illinois,Illinois43872,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-11,Massachusetts,Massachusetts43872,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-11,Washington,Washington43872,53,1,0,7797100,1.28253E-07,0,Western
2020-02-11,Wisconsin,Wisconsin43872,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-12,Arizona,Arizona43873,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-12,California,California43873,6,7,0,39937500,1.75274E-07,0,Western
2020-02-12,Illinois,Illinois43873,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-12,Massachusetts,Massachusetts43873,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-12,Texas,Texas43873,48,1,0,29472300,3.39302E-08,0,N/A
2020-02-12,Washington,Washington43873,53,1,0,7797100,1.28253E-07,0,Western
2020-02-12,Wisconsin,Wisconsin43873,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-13,Arizona,Arizona43874,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-13,California,California43874,6,7,0,39937500,1.75274E-07,0,Western
2020-02-13,Illinois,Illinois43874,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-13,Massachusetts,Massachusetts43874,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-13,Texas,Texas43874,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-13,Washington,Washington43874,53,1,0,7797100,1.28253E-07,0,Western
2020-02-13,Wisconsin,Wisconsin43874,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-14,Arizona,Arizona43875,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-14,California,California43875,6,7,0,39937500,1.75274E-07,0,Western
2020-02-14,Illinois,Illinois43875,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-14,Massachusetts,Massachusetts43875,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-14,Texas,Texas43875,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-14,Washington,Washington43875,53,1,0,7797100,1.28253E-07,0,Western
2020-02-14,Wisconsin,Wisconsin43875,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-15,Arizona,Arizona43876,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-15,California,California43876,6,7,0,39937500,1.75274E-07,0,Western
2020-02-15,Illinois,Illinois43876,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-15,Massachusetts,Massachusetts43876,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-15,Texas,Texas43876,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-15,Washington,Washington43876,53,1,0,7797100,1.28253E-07,0,Western
