Policy,Start,End,Start2,End2,State,Color,StateEndDate,Pact,LabelEndDateCases,Notes
Restaurant Restrictions,,,,,Oklahoma,Republican,Oklahoma,N/A,N/A,
Bar Restrictions,,,,,Oklahoma,Republican,Oklahoma,N/A,N/A,
Emergency Declaration,3/8/2020,9/4/2020,,,Oregon,Democrat,Oregon44078,Western,N/A,State of Emergency
School Closure,,,,,Oregon,Democrat,Oregon,Western,N/A,
Gathering Restriction (Any),,,,,Oregon,Democrat,Oregon,Western,N/A,
Mask,,,,,Oregon,Democrat,Oregon,Western,N/A,
Quarantine / Case Isolation,,,,,Oregon,Democrat,Oregon,Western,N/A,
Stay at Home,,,,,Oregon,Democrat,Oregon,Western,N/A,
Non-essential Business Closure,,,,,Oregon,Democrat,Oregon,Western,N/A,
Restaurant Restrictions,,,,,Oregon,Democrat,Oregon,Western,N/A,
Bar Restrictions,,,,,Oregon,Democrat,Oregon,Western,N/A,
Emergency Declaration,3/6/2020,9/1/2020,,,Pennsylvania,Swing,Pennsylvania44075,Northeast,N/A,Disaster Emergency
School Closure,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Gathering Restriction (Any),,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Mask,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Quarantine / Case Isolation,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Stay at Home,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Non-essential Business Closure,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Restaurant Restrictions,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Bar Restrictions,,,,,Pennsylvania,Swing,Pennsylvania,Northeast,N/A,
Emergency Declaration,3/9/2020,8/2/2020,,,Rhode Island,Democrat,Rhode Island44045,Northeast,19022,Disaster Emergency
School Closure,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Gathering Restriction (Any),,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Mask,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Quarantine / Case Isolation,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Stay at Home,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Non-essential Business Closure,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Restaurant Restrictions,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Bar Restrictions,,,,,Rhode Island,Democrat,Rhode Island,Northeast,N/A,
Emergency Declaration,3/13/2020,8/10/2020,,,South Carolina,Republican,South Carolina44053,N/A,N/A,State of Emergency
School Closure,3/15/2020,6/22/2020,,,South Carolina,Republican,South Carolina44004,N/A,25701,
Gathering Restriction (Any),3/17/2020,7/28/2020,,,South Carolina,Republican,South Carolina44040,N/A,84109,
Mask,,,,,South Carolina,Republican,South Carolina43954,N/A,6626,
Quarantine / Case Isolation,3/27/2020,5/3/2020,,,South Carolina,Republican,South Carolina43954,N/A,6626,"entering from New York, New Jersey, Connecticut, and New Orleans, Louisiana"
Stay at Home,4/6/2020,5/3/2020,,,South Carolina,Republican,South Carolina43954,N/A,6626,"after 5/3, recommendation for duration of state of emergency"
Non-essential Business Closure,3/30/2020,5/3/2020,,,South Carolina,Republican,South Carolina43954,N/A,6626,
Restaurant Restrictions,3/18/2020,5/4/2020,7/11/2020,,South Carolina,Republican,South Carolina43955,N/A,6757,
Bar Restrictions,3/18/2020,5/4/2020,7/11/2020,,South Carolina,Republican,South Carolina43955,N/A,6757,
Emergency Declaration,3/13/2020,12/30/2020,,,South Dakota,Republican,South Dakota44195,N/A,N/A,State of Emergency
School Closure,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Gathering Restriction (Any),,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Mask,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Quarantine / Case Isolation,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Stay at Home,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Non-essential Business Closure,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Restaurant Restrictions,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Bar Restrictions,,,,,South Dakota,Republican,South Dakota,N/A,N/A,
Emergency Declaration,3/12/2020,8/29/2020,,,Tennessee,Republican,Tennessee44072,N/A,N/A,State of Emergency
School Closure,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Gathering Restriction (Any),,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Mask,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Quarantine / Case Isolation,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Stay at Home,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Non-essential Business Closure,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Restaurant Restrictions,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Bar Restrictions,,,,,Tennessee,Republican,Tennessee,N/A,N/A,
Emergency Declaration,3/13/2020,8/9/2020,,,Texas,Swing,Texas44052,N/A,N/A,State of Disaster
School Closure,,,,,Texas,Swing,Texas,N/A,N/A,
Gathering Restriction (Any),,,,,Texas,Swing,Texas,N/A,N/A,
Mask,,,,,Texas,Swing,Texas,N/A,N/A,
Quarantine / Case Isolation,,,,,Texas,Swing,Texas,N/A,N/A,
Stay at Home,,,,,Texas,Swing,Texas,N/A,N/A,
Non-essential Business Closure,,,,,Texas,Swing,Texas,N/A,N/A,
Restaurant Restrictions,,,,,Texas,Swing,Texas,N/A,N/A,
Bar Restrictions,,,,,Texas,Swing,Texas,N/A,N/A,
Emergency Declaration,3/6/2020,8/20/2020,,,Utah,Republican,Utah44063,N/A,N/A,"State of Emergency, renewed through Legislature"
School Closure,,,,,Utah,Republican,Utah,N/A,N/A,
Gathering Restriction (Any),,,,,Utah,Republican,Utah,N/A,N/A,
Mask,,,,,Utah,Republican,Utah,N/A,N/A,
Quarantine / Case Isolation,,,,,Utah,Republican,Utah,N/A,N/A,
Stay at Home,,,,,Utah,Republican,Utah,N/A,N/A,
Non-essential Business Closure,,,,,Utah,Republican,Utah,N/A,N/A,
Restaurant Restrictions,,,,,Utah,Republican,Utah,N/A,N/A,
Bar Restrictions,,,,,Utah,Republican,Utah,N/A,N/A,
Emergency Declaration,3/13/2020,8/15/2020,,,Vermont,Democrat,Vermont44058,N/A,N/A,State of Emergency
School Closure,3/15/2020,6/22/2020,,,Vermont,Democrat,Vermont44004,N/A,1163,
Gathering Restriction (Any),3/13/2020,8/15/2020,,,Vermont,Democrat,Vermont44058,N/A,N/A,
Mask,5/1/2020,8/15/2020,,,Vermont,Democrat,Vermont44058,N/A,N/A,5/1-6/23 only mandatory on public transit
Quarantine / Case Isolation,3/30/2020,8/15/2020,,,Vermont,Democrat,Vermont44058,N/A,N/A,
Stay at Home,3/24/2020,5/14/2020,,,Vermont,Democrat,Vermont43965,N/A,932,
Non-essential Business Closure,3/24/2020,7/15/2020,,,Vermont,Democrat,Vermont44027,N/A,1318,
Restaurant Restrictions,3/17/2020,7/15/2020,,,Vermont,Democrat,Vermont44027,N/A,1318,
Bar Restrictions,3/17/2020,5/18/2020,,,Vermont,Democrat,Vermont43969,N/A,940,
Emergency Declaration,3/12/2020,,,,Virginia,Swing,Virginia,N/A,N/A,State of Emergency
School Closure,,,,,Virginia,Swing,Virginia,N/A,N/A,
Gathering Restriction (Any),,,,,Virginia,Swing,Virginia,N/A,N/A,
Mask,,,,,Virginia,Swing,Virginia,N/A,N/A,
Quarantine / Case Isolation,,,,,Virginia,Swing,Virginia,N/A,N/A,
Stay at Home,,,,,Virginia,Swing,Virginia,N/A,N/A,
Non-essential Business Closure,,,,,Virginia,Swing,Virginia,N/A,N/A,
Restaurant Restrictions,,,,,Virginia,Swing,Virginia,N/A,N/A,
Bar Restrictions,,,,,Virginia,Swing,Virginia,N/A,N/A,
Emergency Declaration,2/29/2020,,,,Washington,Democrat,Washington,Western,N/A,State of Emergency
School Closure,,,,,Washington,Democrat,Washington,Western,N/A,
Gathering Restriction (Any),,,,,Washington,Democrat,Washington,Western,N/A,
Mask,,,,,Washington,Democrat,Washington,Western,N/A,
Quarantine / Case Isolation,,,,,Washington,Democrat,Washington,Western,N/A,
Stay at Home,,,,,Washington,Democrat,Washington,Western,N/A,
Non-essential Business Closure,,,,,Washington,Democrat,Washington,Western,N/A,
Restaurant Restrictions,,,,,Washington,Democrat,Washington,Western,N/A,
Bar Restrictions,,,,,Washington,Democrat,Washington,Western,N/A,
Emergency Declaration,3/16/2020,,,,West Virginia,Republican,West Virginia,N/A,N/A,State of Preparedness
School Closure,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Gathering Restriction (Any),,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Mask,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Quarantine / Case Isolation,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Stay at Home,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Non-essential Business Closure,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Restaurant Restrictions,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Bar Restrictions,,,,,West Virginia,Republican,West Virginia,N/A,N/A,
Emergency Declaration,3/12/2020,9/28/2020,,,Wisconsin,Swing,Wisconsin44102,Midwest,N/A,Public Health Emergency
School Closure,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Gathering Restriction (Any),,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Mask,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Quarantine / Case Isolation,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Stay at Home,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Non-essential Business Closure,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Restaurant Restrictions,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Bar Restrictions,,,,,Wisconsin,Swing,Wisconsin,Midwest,N/A,
Emergency Declaration,3/13/2020,,,,Wyoming,Republican,Wyoming,N/A,N/A,State of Emergency
School Closure,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Gathering Restriction (Any),,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Mask,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Quarantine / Case Isolation,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Stay at Home,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Non-essential Business Closure,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Restaurant Restrictions,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
Bar Restrictions,,,,,Wyoming,Republican,Wyoming,N/A,N/A,
